正面,背面
"En el barrio lo llaman Pepe, aunque su nombre es Pedro.",在社区里大家叫他 Pepe，虽然他叫 Pedro。
Te envidio la memoria de verdad; yo siempre olvido las cosas.,我真的很羡慕你的记忆力；我总是把事情忘掉。
Estudio para aprender español de verdad.,我学习是为了真正学会西语。
Durante el recreo charlo con mis amigos.,课间我和朋友聊天。
Voy con mi amigo al cine.,我和我的朋友去电影院。
Voy contigo al parque.,我和你一起去公园。
Ven conmigo.,你和我一起来。
El café con leche está calentito.,加牛奶的咖啡很烫。
Llevo el libro conmigo para el trayecto.,我随身带着书，路上看。
Trabajo desde las ocho.,从八点开始工作。
Respondo correos desde Madrid.,我在马德里开始回邮件。
Trabajo hasta las diez.,一直到十点工作。
Viajo hasta Barcelona el viernes.,我周五坐车去到巴塞罗那。
Hablamos sobre la película después de cenar.,我们晚饭后聊电影。
Todos vinieron excepto él.,除了他，所有人都来了。
"Vengo entre las dos y las tres de la tarde, cuando termine la clase.",我下午两点到三点之间来，当下课的时候。
Entre las dos casas hay un jardín pequeño.,两栋房子之间有一个小花园。
Pepe está entre Luis y Paco en la fila.,Pepe在队伍里站在Luis和Paco中间。
No puedes irte así sin decir nada; di al menos adiós.,你不能就这样什么都不说就离开；至少说声再见。
No quiero irme de China sin visitar la Gran Muralla.,我不想离开中国却不参观长城。
"Según el profesor, este libro es clave para el examen.",按照老师的说法，这本书是考试的关键。
"Según cómo lo mires, el problema puede ser fácil o difícil.",要看你怎么看，问题可能很容易也可能很难。
María y Juan estudian español en casa.,玛利亚和胡安在家学西语。
Yo estudio hoy y tú trabajas mañana.,我今天学习，你明天工作。
"Estoy cansado, pero sigo trabajando hasta terminar el informe.",我有点累，但我会继续工作，直到写完报告。
Prefiero el mercado porque hoy las frutas están más frescas.,我更喜欢市场，因为市场的水果更新鲜。
"Pues, vamos a empezar la clase.",那么，我们开始上课吧。
"No fui a la reunión, pues estaba cansado.",我没去参加会议，因为我太累了。
"Pues... la verdad, no sé qué decir.",嗯……说实话，我不知道该说什么。
"Como estoy cansado hoy, no voy a salir.",因为我今天累了，所以我不出门。
Es tan alto como su hermano en la foto.,他和照片里的他兄弟一样高。
Habla tan rápido como yo cuando nos ponemos nerviosos.,他讲话速度跟我一样快，尤其是紧张的时候。
La vida no es sosa como imaginan los demás cuando viajan por primera vez.,生活并不像别人第一次旅行时想象的那么无聊。
"Si llueve, nos quedamos en casa.",如果下雨，我们就待在家里。
No voy si llueve.,下雨的话我就不去。
"Aunque esté lloviendo, seguimos trabajando en el proyecto.",虽然在下雨，我们仍在项目上继续工作。
Seguimos trabajando aunque esté lloviendo.,虽然下着雨，我们还是继续工作。
"Aunque es joven, es muy sabio.",尽管他很年轻，但他很聪明。
"Mientras yo estudiaba, mis amigos veían la tele en el salón.",当我在学习时，我的朋友在客厅看电视。
Unos subían al autobús mientras otros bajaban en la siguiente parada.,有的人上公交，有的人则在下一站下车。
"Cuando tengo tiempo libre por la noche, leo en la cama.",当我晚上有空闲时间时，我会在床上读书。
"Al llegar a casa después del trabajo, llamo a mis padres.",下班回到家我就给父母打电话。
"Al llegar la hora de ir al comedor, todos se levantan y van con su bandeja.",一到去食堂的时间，大家就起身拿着托盘走过去。
Voy donde vive mi amigo para dejarle el libro.,我去我朋友住的地方，把书交给他。
Es el pueblo en el que nací y crecí; lo reconozco por la plaza.,这是我出生并成长的小镇；我从广场就能认出来。
Creo que es verdad porque lo explicó mi profesor.,我相信这是真的，因为老师已经解释过了。
La chica que vive aquí es mi hermana; a veces cuida mi gato.,住在这里的那个女孩是我妹妹，她有时会帮我照看猫。
Es importante que estudies hoy para el examen de mañana.,你今天学习很重要，因为明天要考试。
Es que estoy muy cansado después de trabajar todo el día.,我今天上班一整天太累了。
"No voy, es que tengo mucho trabajo y me toca terminarlo hoy.",我不去啦，我这边工作太多了，今天必须做完。
No sé qué hacer con este formulario.,我不知道该拿这份表格怎么办。
Pregunto qué quiere tomar.,我问他想喝什么。
No sé dónde está mi pasaporte.,我不知道我的护照在哪里。
Pregunto cuándo viene el técnico.,我问他什么时候来。
No sé cómo hacerlo para que salga bien.,我不知道怎么做才能做得好。
Pregunto quién es la persona que llama.,我问他打电话的人是谁。
No sé quiénes son los nuevos vecinos.,我不知道那几个新邻居是谁。
Pregunto cuál prefieres para la cena.,我问你晚饭更想吃哪一个。
No sé cuánto cuesta este billete para Madrid.,我不知道这张去马德里的票多少钱。
Pregunto cuántos años tiene tu hermano.,我问你弟弟多大。
Dice que viene.,他说他会来。
Pregunto si quiere café o té.,我问他想要咖啡还是茶。
Pregunto qué quiere cenar.,我问他想吃什么。
Pregunto dónde está la farmacia.,我问药店在哪里。
"En la presentación, habla clara y correctamente.",在展示中，他说得清楚而且很正确。
"En la carrera, corre más rápido que yo.",他在比赛中跑得比我快。
"En la entrevista, no habla tan despacio como el profesor.",面试里他说话没老师那么慢。
"En la autoescuela, conduce tan bien como su padre.",在驾校里，他开车技术和他父亲一样好。
"Por teléfono, habla muy despacio para que yo entienda.",打电话时他讲得很慢，让我听懂。
"Estoy bien, gracias.",我很好，谢谢。
Hoy estoy mejor después de dormir ocho horas.,今天我好多了，因为睡了八个小时。
"Claro, entiendo cuando lo explicas despacio.",当然，你慢慢讲我就明白。
Hablas muy claro y todos te siguen.,你讲得很清楚，大家都跟得上。
"Muy bien, empecemos.",很好，那我们开始吧。
Estoy mal por el cansancio.,我不太舒服，因为太累了。
Hoy estoy peor que ayer.,今天比昨天更糟。
Hoy es lunes y empiezo la semana con clases.,今天星期一，我开始新一周的学习。
"Ahora estudio español en casa, después del trabajo.",下班后我在家学西语。
"Vuelvo enseguida, solo compro un café.",我马上回来，我只是去买杯咖啡。
Te llamo enseguida cuando termine la reunión.,会议结束我马上给你打电话。
"Está bastante bien, aunque todavía falta un poco.",整体挺不错，虽然还差一点。
Casi termino el trabajo hoy; solo me quedan dos tareas.,我今天几乎把工作做完了；只剩两件事。
Sólo quiero descansar un rato antes de salir.,我只想在出门前休息一会儿。
Siempre estudio por la mañana antes del desayuno.,我总是在早饭前学习。
Así es como lo hacemos en mi equipo.,就是这样，我们团队就这么做。
Ya terminé el ejercicio y lo reviso.,我已经把练习做完了，现在在检查。
"Entonces, ¿qué hacemos primero: leer o escuchar?",那么，先做什么：读还是听？
Todavía estudio español porque quiero mejorar mi conversación.,我还在学西班牙语，因为想提高口语。
"En la estación, camina deprisa para no perder el tren.",在车站，他走得很快以免错过火车。
En julio hace más calor que en junio.,七月比六月更热。
"Además, hoy hay niebla y vamos con chaquetas.",此外，今天还有雾，所以我们带着外套。
¿Vienes al cine? Yo también.,你去看电影吗？我也去。
"¿No quieres café? Yo tampoco, prefiero té.",你不想喝咖啡吗？我也不想，想喝茶。
"Generalmente estudio por la mañana, y por la tarde trabajo.",我通常上午学习，下午工作。
"Antes de comer, estudio español media hora.",吃饭之前，我学习西语半小时。
"Antes de comer a las ocho, estudio los apuntes dos días seguidos.",我会连续两天在八点吃饭之前复习笔记。
"Después de comer, preparo el té y reviso mensajes.",吃完饭后，我泡茶并查看消息。
"Después de comer a las ocho, vuelvo al trabajo.",在八点吃完饭之后，我回到工作上。
"Cuando tengo tiempo libre los fines de semana, leo novelas.",周末只要有空闲时间，我就看小说。
¿Puedes ver qué hay encima de la nevera?,你能看到冰箱上面有什么吗？
Encima de la mesa hay un florero muy bonito para la visita.,桌子上摆着一个很漂亮的花瓶，用来招待客人。
"Primero estudio vocabulario, luego descanso cinco minutos.",我先背单词，然后休息五分钟。
"Carlos siempre llega tarde, aunque sale a tiempo.",卡洛斯总是迟到，虽然他出门的时间很准。
Anoche salí del trabajo tarde y volví a casa a las once.,昨晚我下班很晚，十一点才回家。
El banco no está muy lejos: está a diez minutos andando.,银行不太远：走路十分钟左右。
¿Está lejos de aquí ese cine; hay que coger metro?,那个电影院离这里远吗？要坐地铁吗？
"Efectivamente, abre a las diez, como dijo la recepcionista.",确实，十点开门，前台说得没错。
"Al escuchar el aviso, camina rápido hacia la salida.",听到广播后，他快步朝出口走去。
"En la clase práctica, incluso los niños pueden hacer la maqueta.",在实践课上，甚至小朋友也能做模型。
Seguramente viene mañana; hoy tenía cita médica.,他很可能明天来；今天他有看诊。
Cerca de mi casa hay un café muy bueno; voy allí cada mañana.,我家附近有一家很好的咖啡厅；我每天早上去。
"Su casa está muy cerca de la mía, a dos calles.",他的房子离我的很近，隔两条街。
En la mesa dejo las facturas aparte y guardo el resto.,在桌上我把账单单独放好，把其他收起来。
Ese restaurante es demasiado caro para mí hoy.,那家餐厅对我来说太贵了。
Vamos allí pronto para conseguir sitio.,我们早点去那里才能有座位。
Te levantas muy pronto; todavía es de noche.,你起得很早，天还没亮。
"Primero reviso el vocabulario, luego hago los ejercicios.",我先复习单词，然后做练习。
Junto a mi casa hay un parque pequeño y siempre hay gente.,我家旁边有个小公园，那里总有人。
"Está dentro de la maleta, en el bolsillo interior.",它在行李箱里面的内侧口袋里。
Vuelvo dentro de una hora; no me esperes con prisa.,我一小时后回来；你不用着急等我。
Te llamo dentro de dos días para confirmar la reserva.,两天后我给你打电话，确认预订。
"Cuando él habla, nunca entiendo bien qué quiere decir.",当他说话时，我从来都没法听清过他想表达什么。
Trabajo diariamente desde las nueve hasta las seis.,我每天从九点工作到六点。
"¿Son las tres? No, son las tres y diez.",三点吗？没错，三点十分。
El niño se vistió muy despacio porque buscaba los calcetines.,这个孩子穿衣服穿得很慢，因为他在找袜子。
Camina despacio para no resbalar.,他走得很慢，怕滑倒。
Trabaja constantemente para terminar el proyecto antes de la fecha.,他一直持续工作，为了在截止日期前完成项目。
Me levanto temprano para preparar el desayuno sin prisas.,我起得很早，好能不慌地准备早餐。
"Naturalmente, si necesitas ayuda, dime y te ayudo.",当然，如果你需要帮助就告诉我，我来帮你。
Lo veo frecuentemente en la biblioteca del barrio.,我经常在社区图书馆见到他。
"Aunque hay ruido, habla tranquilamente.",虽然很吵，他却能平静地说话。
Vive tranquilamente en el campo.,他在乡下安稳地生活。
Apenas si entiendo la explicación del profesor.,我几乎听不懂老师的解释。
"Apenas llegamos a casa, empezó a llover y tuvimos que correr.",我们刚到家就开始下雨了，我们不得不跑起来。
"Apenas nos vio en la puerta, nos saludó con la mano.",他一看到我们在门口就挥手打招呼。
"Sinceramente, no me gusta esta forma de hablar.",坦率说，我不喜欢这种说话方式。
Entró sigilosamente en el aula cuando ya empezaba la clase.,他在课快开始时悄悄走进教室。
Hago que el niño estudie 30 minutos antes de jugar con la tablet.,我让这个孩子在玩平板前学习30分钟。
Hago estudiar al niño para el examen.,我让这个孩子为考试学习。
Dejo que María salga a comprar pan sola.,我允许玛利亚自己出去买面包。
Dejo salir a María antes de las seis.,我允许玛利亚在六点前出门。
Permito que los niños jueguen en el parque los domingos por la tarde.,我允许孩子们在周日的下午去公园玩。
Acuesto al niño cuando termina el cuento y ya está con sueño.,我在讲完故事后孩子已经困了，所以让他躺下睡觉。
Divierto a los niños con juegos de mesa después de cenar.,我在晚饭后用桌游让孩子们玩得开心。
Me gusta esta película porque el final me sorprendió.,我喜欢这部电影，因为结尾让我很惊喜。
"Me gustan estas películas de terror, pero solo los fines de semana.",我喜欢这些恐怖电影，但只在周末看。
No me gusta cocinar cuando estoy cansado.,我累的时候不喜欢做饭。
"A mí me gusta el café con leche, no el solo.",我喜欢加牛奶的咖啡，不喜欢不加的。
A María no le gusta cocinar y prefiere pedir comida para llevar.,玛利亚不喜欢做饭，她更喜欢叫外卖带回家吃。
Le parece muy buena la idea de visitar el museo el sábado por la mañana.,他觉得周六上午去博物馆是个很好的主意。
No me parecen muy interesantes sus novelas; prefiero ensayos.,在我看来，他的小说不太有意思，我更喜欢散文。
Ana y Luis se ven igual de bien en las fotos.,照片里安娜和路易斯一样好看。
"En mi curso, Ana es más alta que Luis.",在我们班里，安娜比路易斯高。
"En el proyecto, Luis es menos trabajador que Ana.",在这个项目里，路易斯没安娜那么勤奋。
Ana es la más alta de la clase de matemáticas.,安娜是数学课里最高的。
Luis es el más trabajador entre sus amigos este semestre.,在这个学期里，路易斯是他朋友中最勤奋的。
Ese coche es el más caro del concesionario.,那辆车是经销商里最贵的。
Madrid es la ciudad más grande de España.,马德里是西班牙最大的城市。
Mi hermano es muy alto; casi llega al techo.,我哥哥很高，几乎都要碰到天花板了。
Ese edificio es altísimo.,那栋楼非常高。
"En mi estantería, tengo tantos libros como Ana.",在我的书架上，我的书和安娜一样多。
Ana tiene más trabajo en la oficina que Luis.,安娜在办公室的工作比路易斯多。
Luis tiene menos tiempo para estudiar que Ana.,路易斯学习用的时间比安娜少。
La chica que vive aquí es mi hermana; a veces me ayuda con las tareas.,住在这里的那个女孩是我妹妹，她有时会帮我做作业。
El libro que compré ayer es muy interesante y fácil de leer.,我昨天买的那本书很有趣。
Mucho trabajo en la oficina.,办公室里工作很多。
Mucha tarea para mañana.,明天要交的作业很多。
Trabaja mucho en la oficina.,他在办公室工作很努力。
Hace mucho calor en agosto.,八月天气很热。
Llueve mucho esta semana.,这周雨下得很大。
Trabaja más que yo en el equipo.,在团队里他比我工作得更多。
Tengo muchos para el examen.,我有很多考试复习资料。
Hay muchas en la biblioteca.,图书馆里有很多。
Poco tiempo para comer.,吃饭的时间很少。
Poca comida en la nevera.,冰箱里食物很少。
Trabaja poco hoy.,他今天工作很少。
Hace poco calor en la oficina.,办公室里没那么热。
Trabaja menos que antes.,他比以前工作得更少。
Tengo pocos para terminarlo hoy.,我今天要做完的东西很少。
Hay pocas plazas disponibles.,可用名额很少。
Un poco de agua fría.,来点冷水。
Un poco de tiempo para respirar.,给我一点时间喘口气。
Hablo un poco de español para pedir comida.,我会一点西班牙语用来点餐。
Está un poco cansado después del viaje.,他坐车之后有点累。
Aquí hay algo que no comprendo de esta explicación.,这里有些我不理解的讲解内容。
Está algo cansado porque durmió poco.,他有点累，因为睡得少。
Algún día te invito al café.,总有一天我会请你喝咖啡。
Alguna vez encontraremos tiempo.,总有一次我们会有时间。
Algún libro de gramática te ayudará.,一些语法书会帮到你。
"¿Tienes algún libro de español para principiantes? Sí, tengo alguno.",你有给初学者用的西语书吗？有的，我有一本。
No tengo ningún libro de español ahora.,我现在一本西语书都没有。
No hay ninguno en la biblioteca.,图书馆里也没有一本。
Cualquier libro para principiantes está bien.,初学者用的任何一本书都可以。
Cualquiera puede hacerlo con práctica.,任何人只要练习都能做到。
Trabajo todo el día.,我整天工作。
Dormí toda la noche.,我睡了一整夜。
Todos los días camino al trabajo.,我每天走路去上班。
Lo sé todo sobre este tema.,我对这个主题全都知道。
¿Ya estamos todos aquí?,我们都到齐了吗？
No quiero decir nada delante de la gente.,我不想当着大家说。
Nada quiero decir ahora.,我现在什么都不想说。
¿Cuál es tu llave del apartamento?,哪一把是你公寓的钥匙？
¿Cuál de los muchachos es su hermano en la foto?,照片里哪个男孩是他兄弟？
¿Con cuál de las jóvenes quieres hablar sobre el evento?,你想和哪个女孩聊活动的事？
"Hola, ¿cómo estás?",你好，你好吗？
"Buenos días, señor. ¿Le sirvo un café?",早上好，先生。我给您来杯咖啡吗？
Mucho gusto en conocerte.,很高兴认识你。
"Encantado, soy Juan.",很高兴，我是胡安。
"Encantada, soy María.",很高兴，我是玛利亚。
Me llamo Juan.,我叫胡安。
¿Qué tal? ¿Cómo estás hoy después del examen?,怎么样？你考试后还好吗？
"¿Cómo te encuentras hoy, estás mejor?",你今天感觉怎么样？好点了吗？
¿Cómo te va el trabajo esta semana?,这周这个工作对你怎么样？
Gracias por tu ayuda con la tarea de español.,谢谢你的帮助。
"Por favor, ¿puedes ayudarme un momento?",麻烦了，你能帮我一下吗？
Me recibió con cordialidad en la oficina.,他在办公室里友好地接待了我。
Hablamos con cordialidad durante la reunión.,我们在会议中友好交谈。
"Un poco de agua, por favor.",麻烦给我一点水。
"¿Un poco más de sopa, por favor?",再来一点汤吗？
Trabajé un par de horas.,我工作了几个小时。
Esperamos un par de horas.,我们等了几小时。
"A veces llueve, pero salgo igual.",有时会下雨，但我还是会出去。
El fin de semana descanso en casa.,周末我在家休息。
¿Diga? ¿Quién es?,喂？你是谁？
Por la noche estudio español en serio.,晚上我认真学西语。
Por la mañana trabajo y respondo correos.,早上我工作并回邮件。
Por la tarde descanso un rato.,下午我休息一会儿。
"Pase por aquí, por favor.",请这边走。
Ven por aquí y te explico.,从这边来，我给你解释。
"A las ocho de la noche, nos vemos en la estación.",晚上八点，我们在车站见。
"A las siete de la mañana, desayuno y salimos.",早上七点，吃早饭并出发。
"A las tres de la tarde, tengo clase de conversación.",下午三点，我有口语课。
¿Vienes mañana? Por supuesto.,你明天来吗？当然。
¿Puedes ayudarme con esto? —¡Claro que sí!,你能帮我做这个吗？—当然可以！
Estoy ciento por ciento seguro de que lo encuentras.,我百分之百确定你能找到它。
"Hasta mañana, nos vemos en la oficina.",明天见，在办公室见。
"Hasta luego, vengo en cinco minutos.",一会儿见，我五分钟后回来。
Hasta el sábado por la tarde.,周六下午见。
"En el museo hay reglas, normas, hasta prohibiciones por seguridad.",博物馆里有规定、规范，甚至为了安全还有禁令。
Estudio todos los días después del trabajo.,我每天下班后学习。
Llegué el lunes a la ciudad; al día siguiente empecé a trabajar en el nuevo proyecto.,我周一到这座城市；第二天就开始做新项目了。
Estudio todo el día para el examen final.,我为了期末考试整天学习。
Estudio todas las mañanas antes de ir al trabajo.,我每天上午去上班前学习。
Estudio todas las tardes en la biblioteca.,我每天下午在图书馆学习。
Estudio todas las noches con la grabación del profesor.,我每天晚上都会跟着老师的录音学习。
Estudio toda la mañana sin parar.,我整个上午都在不停地学习。
Estudio toda la tarde y por la noche repaso.,我整个下午学习，晚上再复习。
"Estudio toda la noche, pero al final descanso.",我学了一整晚，但最后还是会休息。
"Adiós, hasta mañana.",再见，明天见。
"Chao, nos vemos.",再见，回头见。
Está cansado hoy; sin embargo sigue trabajando en casa.,他今天很累；然而他仍在家继续工作。
Vive sin ocuparse de nada y disfruta sus fines de semana.,他活得随心所欲，周末尽情享受，什么都不操心。
Llueve sin parar desde el mediodía.,从中午开始雨就不停地下。
Trabaja sin parar porque hay plazo.,他不间断地工作，因为有截止期限。
Lo dijo sin pensar que fuera a molestarte; solo quería bromear.,他脱口而出，根本没想到会惹你不高兴；只是想开玩笑。
"No puedo salir esta noche; o sea, mañana por la mañana tengo que trabajar.",我今晚不能出去，因为明早我得去工作。
"En realidad, no puedo ir porque tengo una entrevista.",其实，我去不了，因为我有面试。
Tengo hambre; ¿paramos a comer algo antes de volver a casa?,我饿了；回家前我们先吃点东西吧？
Tengo una cita con el dentista a las diez.,十点我和牙医有个预约。
Él cambia de un día para otro: ayer estaba bien y hoy está peor.,他一天一个样：昨天还好，今天更糟了。
Encontró a su medio naranja en una cafetería del barrio.,他在社区的一家咖啡馆遇到了灵魂伴侣。
Estoy lleno después de la paella; no puedo más.,吃完海鲜饭我都吃饱了，再也吃不下了。
Gracias por tu ayuda. De nada.,谢谢你帮我。不客气。
"Se rompió mi cuaderno. No pasa nada, te presto el mío.",我笔记本摔坏了。没关系，我把我的借给你。
¿Algo más? Nada más.,还要别的吗？就这些。
"Para el regalo, no tengo más que diez euros.",礼物我最多只有十欧元。
Nada de eso; yo pagué la cuenta.,不是这样的，我付的账。
Lo conseguí por nada; era una promoción.,我几乎没花钱就拿到了；是促销。
"Perdón, te pisé sin querer.",对不起，我不是故意踩你的。
¡Cuánto lo siento! He llegado tarde por el atasco.,很遗憾！我因为堵车晚到了。
Aquí lo tienes; gracias por esperar.,给你，感谢你等我。
Aquí está; ya está todo listo.,给你，已经准备好了。
"¿Vamos al cine ahora, vale?",我们现在去看电影，好吗？
"A propósito, ¿a qué hora empieza?",顺便问一下，几点开始？
"Antes de nada, déjame presentarme: soy Clara.",首先，让我自我介绍一下：我是 Clara。
Vengo aquí por primera vez; ¿me puedes ayudar?,我第一次来这里；你能帮我吗？
Por fin llegaste; te estábamos esperando.,你终于到了，我们一直在等你。
Por fin terminé el informe y lo envié.,我终于做完报告并发出去了。
A los seis años empecé a tocar el piano.,我六岁开始学钢琴。
"Felicidades por tu 18 cumpleaños, ¡te quiero!",祝你十八岁生日快乐，我爱你！
"Cada (una) vez que te veo, me dan ganas de sonreír.",每一次见到你，我都想笑。
No juegues con tu salud; duerme bien y come a tiempo.,别拿你的健康开玩笑；好好睡、按时吃。
Ya sé; lo vi en tu mensaje.,我知道了；我看到你发的消息了。
Ahora mismo no trabaja; está buscando empleo.,他现在没有工作，在找工作。
No tiene trabajo desde marzo; está enviando currículos.,他从三月开始没工作，在投简历。
"Trabajo en el parque industrial, cerca de la estación.",我在工业园区上班，离车站很近。
Estudio en la Biblioteca Nacional por la tarde.,我下午在国家图书馆学习。
No importa; lo resolvemos mañana.,没关系；我们明天再解决。
¿Café o té? Me da igual.,咖啡还是茶？都行。
¿De verdad estás molesto? —¡Qué va! Solo estaba cansado.,你真生气了？—才不是！我只是太累了。
¡Qué bien! Hoy es perfecto para salir a caminar.,太好了！今天很适合出去散步。
Voy a hacer compras al supermercado después del trabajo.,下班后我去超市购物。
"Pasaba fuera los domingos, luego volvía por la tarde.",我以前周日常待在外面，傍晚再回家。
Siempre hago la cama por la mañana antes de salir.,我早上出门前总是整理床铺。
Pago con tarjeta de crédito en el supermercado.,我在超市用信用卡付款。
"La cuenta, por favor. Hoy invito yo.",买单吧，今天我请客。
Tienes que levantarte ya; llegamos tarde.,你得马上起床了；要迟到了。
"Oiga, disculpe, ¿puede ayudarme?",喂，打扰一下，您能帮我吗？
Le llamo por teléfono para confirmar la hora.,我给他打电话确认时间。
Llamo a la puerta y no contesta.,我敲门他没有回应。
Esta fábrica produce coches totalmente eléctricos.,这家工厂生产纯电动汽车。
El accidente produjo daños y retrasos.,事故造成了损失和延误。
¿Vamos al cine esta tarde? Vale.,我们今天下午去电影院？好的。
Estoy de acuerdo contigo; es una buena idea.,我同意你的观点；这是个好主意。
Dejo esta mesa y voy contigo a la cocina.,我放下手头的事，跟你去厨房。
Te conozco de oídas; tu perfil lo vi por recomendación de Ana.,我听说过你；我看到你的主页是安娜推荐的。
"A la hora de comer, solemos estar en casa.",吃饭的时候我们通常在家。
A la salida de la escuela nos encontramos en la parada.,离开学校的时候我们在站牌见面。
A la salida del trabajo voy al supermercado y compro pan.,下班后我去超市买面包。
¡Huy! Qué caro... ¿Hay descuento hoy?,嗬！也太贵了……今天有打折吗？
"En el mercado hay muchas frutas; por ejemplo, manzanas y naranjas.",在市场上有很多水果，比如苹果和橙子。
Uno de mis amigos trabaja en este barrio.,我的一个朋友在这个社区工作。
Una de mis amigas estudia chino.,我的一位女朋友在学中文。
Lo más importante es la disciplina en tu rutina.,最重要的是日常作息里的自律。
Lo importante es practicar cada día.,关键是每天练习。
Trabajamos dentro y fuera del país; ahora estamos en China y viajamos a España.,我们在国内外工作；现在在中国，也会去西班牙出差。
Ella es famosa por sus videos de cocina.,她因做饭视频很有名。
La ciudad es famosa por su arquitectura.,这座城市因建筑很有名。
Hoy es un buen día para estudiar y salir a caminar.,今天是个好日子，既学习也出去走走。
El reloj marca las tres y todavía no he almorzado.,钟现在显示三点了，我还没吃午饭。
Tomo café por la mañana antes de empezar a trabajar.,我早上开始工作前喝一杯咖啡。
No tengo tiempo ahora; tengo que irme ya.,我现在没时间；我得立刻走了。
¿Qué hora es? Necesito salir a las cinco.,几点了？我得五点出门。
Tengo clase a las ocho y preparo todo antes de salir.,我八点上课，出门前都准备好了。
Tenemos una conversación sobre el examen en la cafetería.,我们在咖啡馆就考试聊一聊。
Por la tarde estudio español y repaso los apuntes.,下午我学西语并复习笔记。
Es un día muy bueno para preparar el examen.,很适合准备考试的一天。
Una película buena para relajarse en casa.,一部在家放松的好电影。
Un día malo porque perdí el tren.,一天都很糟糕，因为我没赶上火车。
Una película tan mala que casi me duermo.,一部很差的电影，我都快睡着了。
El profesor es muy puntual y empieza a tiempo.,这位老师非常准时，会准点上课。
Llegué tarde porque había mucho tráfico.,我来晚了，因为路上太堵车。
Tomo café antes de clase.,我课前喝咖啡。
Tomo el libro de la mesa.,我把桌上的书拿起来。
